No,デフォ,種別,楽曲名,ﾕﾆｯﾄ,E,N,H,X,M,A,コンボ(EXP),コンボ(MAS),コンボ(APD),時間,BPM,MV,人数,配信日
317,10108,既,Wonder Style,0_VS,6,11,18,24,28,-,0888,1013,-,2:16,128,-,-,2023/06/07
318,23014,書,下剋上,3_VBS,8,12,18,25,30,-,1228,1245,-,2:35,185,2D,-,2023/06/10
319,14025,既,嗚呼、素晴らしきニャン生,4_WxS,8,13,18,24,29,-,1125,1374,-,2:30,194,原曲/2D,-,2023/06/12
320,10109,公,スターダストメドレー,0_VS,7,13,20,26,30,-,1215,1366,-,2:23,170,-,-,2023/06/16
321,22015,書,チームメイト,2_MMJ,8,12,18,24,30,-,0803,1090,-,1:52,180,2D,-,2023/06/20
322,11026,既,glow,1_L/n,5,11,17,22,26,25,0875,0987,0855,2:39,085,3D,5,2023/06/23
323,15025,既,とても素敵な六月でした,5_25,9,12,18,24,29,-,1273,1491,-,2:34,210,3D,5,2023/06/26
324,10110,既,UNDERWATER,0_VS,6,11,16,24,29,-,0971,1062,-,2:29,145,原曲,-,2023/06/28
325,12025,既,きゅうくらりん,2_MMJ,9,14,20,27,31,-,1141,1148,-,1:49,220,原曲/2D,-,2023/07/03
326,10111,既,Afterglow,0_VS,8,11,16,23,27,-,0727,0844,-,2:27,183*,3D,1,2023/07/07
327,14026,既,太陽系デスコ,4_WxS,7,13,17,23,28,-,1018,1188,-,2:26,150,原曲,-,2023/07/12
328,10112,公,心拍ペアリング,0_VS,6,11,17,23,28,-,0575,0696,-,1:27,134,-,-,2023/07/14
329,25016,書,演劇,5_25,8,11,17,24,28,-,0983,0984,-,2:06,176*,3D,5,2023/07/19
330,21016,書,星を繋ぐ,1_L/n,7,12,18,24,28,27,0753,0821,1035,1:37,174,2D,-,2023/07/21
331,13026,既,脳内革命ガール,3_VBS,9,13,18,27,31,-,1189,1269,-,2:20,240,3D,5,2023/07/24
332,10113,既,Decade,0_VS,6,11,16,24,30,-,0839,1057,-,2:25,127,-,-,2023/07/28
333,22016,書,我らステインバスターズ！,2_MMJ,6,12,17,24,28,-,0797,0810,-,1:45,125,2D,-,2023/08/01
334,10114,公,新人類,0_VS,6,13,19,27,31,-,1285,1298,-,2:37,144,-,-,2023/08/03
335,10115,公,ずんだパーリナイ,0_VS,7,13,19,27,31,-,1407,1522,-,2:47,170*,-,-,2023/08/04
336,10116,公,Disco No.39,0_VS,6,13,19,26,30,-,0950,1115,-,2:14,145,-,-,2023/08/10
337,11027,既,サマータイムレコード,1_L/n,9,13,19,24,28,-,1107,1404,-,2:29,178,-,-,2023/08/15
338,23015,書,リアライズ,3_VBS,7,13,19,25,29,-,0744,0851,-,1:34,150,3D,5,2023/08/19
339,24014,書,キラピピ★キラピカ,4_WxS,7,11,16,23,27,-,0909,0909,-,1:42,160,2D,-,2023/08/21
340,20005,書,ボトルケーキ,0_VS,5,11,16,24,28,-,0640,0759,-,1:56,107,-,-,2023/08/25
341,15026,既,心做し,5_25,5,12,16,22,26,-,0676,0832,-,2:19,084,-,-,2023/08/28
342,10117,既,ブループラネット,0_VS,8,13,19,26,30,-,1287,1357,-,2:16,186,3D,1,2023/08/31
343,10118,既,HERO,0_VS,8,13,19,26,31,-,1194,1278,-,2:03,190,原曲,-,2023/09/01
344,10119,公,CIRCUS PANIC!!!,0_VS,6,13,19,27,32,-,1083,1239,-,2:18,136*,-,-,2023/09/04
345,12026,既,白い雪のプリンセスは,2_MMJ,9,14,17,24,29,-,1273,1478,-,2:20,200,3D,5,2023/09/11
346,20006,書,Un-Lock,0_VS,6,12,18,24,28,-,0894,1096,-,2:19,130,-,-,2023/09/19
347,10120,既,ラッキー☆オーブ,0_VS,6,11,17,24,28,-,0802,0919,-,2:01,126,原曲,-,2023/09/25
348,29006,書,NEO,9_oth,8,13,19,25,29,32,0939,0988,1365,2:06,190,2D/3D,6,2023/09/30
349,20007,書,アイムマイン,0_VS,6,13,19,25,29,-,1058,1189,-,2:37,135,3D,6,2023/10/01
350,11028,既,天樂,1_L/n,9,13,18,25,29,-,1396,1554,-,2:31,232,原曲,-,2023/10/02
351,10121,既,まにまに,0_VS,7,13,19,25,29,-,0893,1014,-,1:54,174,原曲,-,2023/10/03
352,12027,既,メランコリック,2_MMJ,6,13,16,24,27,-,0917,1100,-,2:28,140,原曲,-,2023/10/04
353,10122,既,豚になって yeah yeah,0_VS,5,12,17,24,28,-,0705,0778,-,2:01,115,3D,1,2023/10/05
354,13027,既,恋は戦争,3_VBS,8,12,16,23,27,-,1081,1262,-,2:23,175,-,-,2023/10/06
355,10123,既,デビルじゃないもん,0_VS,7,12,19,26,29,-,0854,0879,-,2:01,154,原曲,-,2023/10/07
356,14027,既,すきなことだけでいいです,4_WxS,6,12,18,26,31,-,1081,1223,-,2:35,140,3D,3,2023/10/08
357,10124,既,番凩,0_VS,6,12,17,24,27,-,0716,0892,-,2:05,128*,-,-,2023/10/09
358,15027,既,神っぽいな,5_25,6,13,18,25,29,-,1035,1162,-,2:28,142,原曲,-,2023/10/10
359,10125,既,Dear,0_VS,6,12,17,23,28,-,1032,1233,-,2:30,134,-,-,2023/10/11
360,23016,書,CR詠ZY,3_VBS,5,13,19,24,28,-,0615,0728,-,1:43,122,2D,-,2023/10/12
361,10126,公,Cool Me Down,0_VS,7,13,19,25,29,-,1159,1250,-,2:29,174,-,-,2023/10/16
362,12028,既,悪役にキスシーンを,2_MMJ,6,12,18,25,29,-,0998,1188,-,2:33,124,3D,5,2023/10/23
363,14028,既,我儘姫,4_WxS,6,11,18,26,30,-,1040,1188,-,2:22,126*,-,-,2023/10/25
364,21017,書,purpose,1_L/n,6,12,18,24,28,-,0720,0812,-,1:49,130,2D/3D,5,2023/10/29
365,22017,書,はぐ,2_MMJ,6,13,18,24,29,-,0851,0983,-,2:10,120,2D,-,2023/10/31
366,25017,書,トワイライトライト,5_25,8,13,17,22,26,-,0520,0619,-,1:47,088,2D/3D,5,2023/11/01
367,13028,既,春嵐,3_VBS,6,14,20,27,30,-,1095,1184,-,2:20,140,原曲,-,2023/11/06
368,20008,書,ARQETYPE,0_VS,9,14,21,27,31,-,0827,0951,-,1:40,240,-,-,2023/11/10
369,10127,公,On&On,0_VS,6,12,18,23,27,-,0712,0859,-,1:55,126,-,-,2023/11/13
370,15028,既,キュートなカノジョ,5_25,7,13,17,26,30,-,1006,1208,-,2:12,160,原曲,-,2023/11/22
371,24015,書,フィラメントフィーバー,4_WxS,6,13,18,25,29,-,0864,0952,-,1:54,134*,2D/3D,5,2023/11/28
372,12029,既,さよならプリンセス,2_MMJ,8,14,19,26,30,-,0812,1131,-,1:59,195,原曲,-,2023/12/04
373,23017,書,Beyond the way,3_VBS,7,13,17,25,28,-,0737,0900,-,1:57,125,2D/3D,5,2023/12/08
374,20009,書,ショウタイム×オーディエンス,0_VS,9,14,18,25,30,-,1091,1220,-,2:03,220,-,-,2023/12/11
375,10128,既,難聴系男子が倒せない,0_VS,7,12,17,25,30,-,1028,1234,-,2:22,150,3D,1,2023/12/18
376,10129,公,オーバーコード,0_VS,5,12,18,26,30,-,1113,1253,-,2:40,120,-,-,2023/12/22
377,15029,既,スロウダウナー,5_25,8,13,18,26,30,-,1054,1418,-,2:23,194,原曲,-,2023/12/25
378,11029,既,初めての恋が終わる時,1_L/n,8,12,17,25,29,-,0822,0995,-,2:15,180,-,-,2023/12/28
379,25018,書,25時の情熱,5_25,5,11,17,22,25,-,0625,0725,-,1:59,086,2D/3D,5,2023/12/29
380,13029,既,金木犀,3_VBS,6,12,17,26,29,-,0814,0899,-,2:04,123,原曲,-,2023/12/30
381,10130,既,一千光年,0_VS,8,13,18,25,30,31,0941,1141,1496,1:56,192,原曲,-,2023/12/31
382,14029,既,強風オールバック,4_WxS,6,13,17,24,28,-,0714,0955,-,2:17,135,原曲,-,2024/01/01
383,10131,既,ヒアソビ,0_VS,9,13,18,27,31,-,1053,1116,-,2:12,134,原曲,-,2024/01/02
384,15030,既,エンヴィーベイビー,5_25,7,13,17,23,28,-,0969,1251,-,2:17,171,3D,5,2024/01/03
385,10132,既,『んっあっあっ。』,0_VS,6,13,18,24,28,-,0742,1071,-,2:08,123,原曲,-,2024/01/04
386,12030,既,くうになる,2_MMJ,7,13,18,24,29,-,0769,0945,-,1:49,166,原曲,-,2024/01/05
387,11030,既,ハイドアンド・シーク,1_L/n,7,12,17,24,28,-,0764,0898,-,2:05,138,-,-,2024/01/09
388,39004,既,folern,9_oth,9,12,21,30,32,35,1392,1486,1794,2:21,200,-,-,2024/01/11
389,22018,書,MOTTO!!!,2_MMJ,6,11,16,23,27,-,0881,1067,-,2:22,130,2D/3D,5,2024/01/15
390,39005,既,Sage,9_oth,9,13,21,29,32,36,1259,1352,1812,2:31,145,-,-,2024/01/18
391,10133,公,心泥夢(syndrome),0_VS,7,12,19,27,31,-,1221,1383,-,2:41,123,-,-,2024/01/22
392,24016,書,サイバーパンクデッドボーイ,4_WxS,7,13,19,27,30,-,0917,1014,-,2:03,157,2D,-,2024/01/23
393,39006,既,MarbleBlue.,9_oth,9,14,21,30,33,37,1437,1460,2500,2:43,198.22,-,-,2024/01/25
394,13030,既,マーシャル・マキシマイザー,3_VBS,9,14,18,26,29,-,0694,0895,-,1:35,190,3D,5,2024/01/29
395,13031,既,え？あぁ、そう。,3_VBS,8,12,18,25,30,-,0838,1028,-,1:51,192,-,-,2024/02/01
396,10134,公,リレイアウター,0_VS,7,13,18,26,30,-,0960,1203,-,2:33,151*,-,-,2024/02/03
397,10135,公,おどロボ,0_VS,6,13,18,24,29,-,1266,1339,-,2:44,145,-,-,2024/02/04
398,24017,書,世界を照らすテトラッド,4_WxS,7,13,20,27,31,-,0850,1072,-,2:02,155,2D/3D,5,2024/02/09
399,10136,既,ハッピーチートデー,0_VS,5,12,17,23,26,-,0645,0817,-,2:02,124,原曲,-,2024/02/10
400,10137,公,十六歳の心臓,0_VS,8,14,20,27,31,-,1162,1470,-,2:16,190,-,-,2024/02/13
401,20010,書,limbo,0_VS,8,13,19,26,31,-,0900,0958,-,1:42,199,-,-,2024/02/16
402,21018,書,レグルス,1_L/n,6,12,18,26,29,30,0949,1014,1268,2:07,146,2D/3D,5,2024/02/18
403,14030,既,古書屋敷殺人事件,4_WxS,6,12,18,24,28,-,0823,0974,-,2:02,140,-,-,2024/02/22
404,22019,書,JUMPIN’ OVER !,2_MMJ,7,12,17,24,28,-,0858,0863,-,1:49,170,2D/3D,5,2024/02/27
405,15031,既,ラグトレイン,5_25,6,13,16,23,27,25,0705,0920,1038,2:07,147,原曲,-,2024/02/29
406,21019,書,インテグラル,1_L/n,8,12,16,24,28,-,0868,0868,-,1:57,192,2D/3D,5,2024/03/01
407,15032,既,ド屑,5_25,5,12,18,25,28,-,0844,0817,-,2:01,115,原曲,-,2024/03/04
408,10138,公,明鏡止水,0_VS,7,12,18,23,28,-,0728,0938,-,2:03,150,-,-,2024/03/08
409,10139,既,ハジメテノオト,0_VS,5,12,16,23,26,-,0539,0639,-,2:11,100,-,-,2024/03/09
410,12031,既,flos,2_MMJ,6,12,18,23,27,-,0694,0893,-,2:05,118,3D,5,2024/03/11
411,10140,公,アコトバ,0_VS,6,12,19,24,29,-,0664,0857,-,2:10,125,-,-,2024/03/15
412,20011,書,幽光、1/fのゆらめき,0_VS,8,13,18,25,29,-,0718,0877,-,1:31,193,-,-,2024/03/18
413,20012,書,嬢王,0_VS,9,15,24,31,33,36,1266,1456,1972,2:23,200*,原曲,-,2024/03/22
414,14031,既,1000年生きてる,4_WxS,5,13,18,23,28,-,0673,0757,-,1:48,100,3D,5,2024/03/25
415,11031,既,幾望の月,1_L/n,6,14,19,26,29,-,0892,0998,-,2:05,138,原曲,-,2024/03/27
416,23018,書,blender,3_VBS,5,12,16,23,27,-,0812,0781,-,2:16,103,2D/3D,5,2024/03/28
417,10141,既,えれくとりっく・えんじぇぅ,0_VS,7,12,17,24,29,-,0927,1176,-,2:06,150,-,-,2024/03/30
418,10142,既,レッドランドマーカー,0_VS,7,13,18,26,29,-,1018,1105,-,2:08,174,原曲,-,2024/03/31
419,10143,既,あいのうた,0_VS,6,12,16,25,29,-,0950,1064,-,2:03,139,-,-,2024/04/02
420,10144,既,ガーネットの涙,0_VS,6,12,16,25,28,-,0774,0904,-,1:59,139,原曲,-,2024/04/03
421,10145,既,だんだん早くなる,0_VS,7,13,18,24,28,-,0851,0918,-,2:21,160*,-,-,2024/04/04
422,25019,書,私は雨,5_25,6,12,18,24,28,-,0823,0918,-,2:05,144,2D,-,2024/04/10
423,13032,既,酔いどれ知らず,3_VBS,6,13,18,24,28,29,0865,1048,1120,2:16,115,3D,5,2024/04/15
424,10146,公,おぎゃりないざー,0_VS,9,15,23,31,34,37,1387,1637,2050,2:08,245*,-,-,2024/04/19
425,10147,公,シルバーコレクター,0_VS,8,13,19,26,32,-,1113,1178,-,2:12,180,-,-,2024/04/22
426,21020,書,すれすれ,1_L/n,6,11,16,23,26,-,0521,0595,-,1:37,086,2D/3D,5,2024/04/28
427,23019,書,烈火,3_VBS,6,12,16,23,27,-,0786,0948,-,2:20,132,2D,-,2024/04/30
428,39007,既,超最終鬼畜妹フランドール・Ｓ,9_oth,9,14,20,28,32,35,1175,1270,1914,2:03,210,原曲,-,2024/05/03
429,15033,既,Bad Apple!! feat.SEKAI,5_25,7,11,18,24,29,31,0883,1181,1328,2:26,138,2D,-,2024/05/04
430,10148,既,"Help me, ERINNNNNN!!",0_VS,8,13,19,26,30,32,1168,1318,1564,2:26,185,2D,-,2024/05/05
431,14032,既,おちゃめ機能,4_WxS,7,13,18,24,30,-,0933,1171,-,2:06,150,-,-,2024/05/07
432,20013,書,ときめきジェットコースター,0_VS,8,13,19,27,31,-,1016,1234,-,2:05,180,-,-,2024/05/10
433,11032,既,東京テディベア,1_L/n,9,13,18,28,31,34,1172,1449,2024,2:15,204,3D,5,2024/05/13
434,15034,既,熱異常,5_25,8,13,18,27,32,-,0978,1197,-,2:02,183,3D,5,2024/05/17
435,10149,公,I know 愛脳.,0_VS,7,14,20,26,31,-,1016,1119,-,2:02,150,-,-,2024/05/20
436,12032,既,だめにんげんだ!,2_MMJ,8,13,19,26,30,-,0917,0976,-,2:02,179,原曲,-,2024/05/24
437,24018,書,オペラ！スペースオペラ！,4_WxS,9,13,19,26,30,31,0986,1198,1403,2:06,198,2D,5,2024/05/29
438,11033,既,抜錨,1_L/n,6,12,17,24,28,-,0831,0954,-,2:05,140,3D,5,2024/06/03
439,14033,既,きょうもハレバレ,4_WxS,6,13,17,24,28,-,0793,1033,-,2:01,134,原曲,-,2024/06/10
440,22020,書,Supernova,2_MMJ,5,13,17,24,28,27,0750,0890,1016,2:10,105,2D/3D,5,2024/06/18
441,25020,書,エンパープル,5_25,6,12,17,24,29,30,0813,0877,1126,1:59,136,2D,-,2024/06/20
442,10150,公,合成するミライ,0_VS,7,12,19,25,30,-,0969,1094,-,2:15,170,-,-,2024/06/24
443,20014,書,LEADER,0_VS,6,12,17,24,28,-,0763,0940,-,1:50,140,-,-,2024/06/28
444,12033,既,ポッピンキャンディ☆フィーバー！,2_MMJ,8,13,19,26,31,-,1140,1323,-,2:09,190,原曲,-,2024/07/01
445,23020,書,ULTRA C,3_VBS,6,12,18,25,28,-,0651,0769,-,1:37,128,2D/3D,5,2024/07/07
446,10151,公,ダイジョブですか？,0_VS,9,15,23,31,34,37,1495,1674,2555,2:30,224*,-,-,2024/07/09
447,24019,書,成敗いたAAAAAす！,4_WxS,8,14,18,25,31,-,1022,1199,-,2:13,180,2D/3D,5,2024/07/15
448,11034,既,林檎売りの泡沫少女,1_L/n,8,13,17,24,28,-,1009,1048,-,2:10,225.2,原曲,-,2024/07/17
449,10152,公,メリーゴーラウンド,0_VS,5,12,18,26,29,-,0874,1024,-,2:19,116,-,-,2024/07/22
450,15035,既,マインドブランド,5_25,7,13,17,24,28,-,0764,1023,-,2:05,156,3D,5,2024/07/29
451,10153,公,イガク,0_VS,7,14,20,25,31,-,0892,1226,-,2:01,170,-,-,2024/08/03
452,10154,公,あちこちデートさん,0_VS,5,11,16,22,30,-,0693,0829,-,2:02,102*,-,-,2024/08/04
453,22021,書,キラー,2_MMJ,8,13,19,27,31,33,0825,1013,1267,1:38,196,2D/3D,5,2024/08/07
454,13033,既,WAVE,3_VBS,6,12,17,24,28,-,0794,0837,-,1:57,130,-,-,2024/08/13
455,10155,公,彗星ノ銀河,0_VS,5,11,16,21,26,-,0688,0699,-,2:04,085,-,-,2024/08/19
456,20015,書,夏夜ノ唄,0_VS,5,13,16,23,28,-,0695,0787,-,2:02,103,-,-,2024/08/23
457,14034,既,QUEEN,4_WxS,8,13,18,25,29,-,1164,1385,-,2:24,170,原曲,-,2024/08/26
458,10156,既,アンテナ39,0_VS,6,13,18,25,30,-,1039,1139,-,2:06,147,原曲,-,2024/08/30
459,14035,既,ちがう!!!,4_WxS,8,13,18,26,31,-,0930,1074,-,1:58,181,3D,5,2024/09/02
460,12034,既,スーパーヒーロー,2_MMJ,6,13,20,25,29,-,0904,0909,-,1:55,132,原曲,-,2024/09/09
461,10157,既,カルチャ,0_VS,7,13,17,25,28,-,0797,1037,-,1:49,172,原曲,-,2024/09/13
462,10158,公,レイヤーノート,0_VS,5,11,16,21,27,-,0563,0679,-,2:08,078,-,-,2024/09/17
463,21021,書,それでも僕らは歌うことをやめない,1_L/n,8,13,18,26,30,-,0705,0814,-,1:38,182,2D,-,2024/09/20
464,20016,書,Unpoison,0_VS,5,12,17,23,28,-,0714,0897,-,2:02,119,-,-,2024/09/24
465,29007,書,熱風,9_oth,8,13,16,23,29,31,0871,0925,1207,1:53,192,3D,6,2024/09/30
466,11035,既,モザイクロール (Reloaded),1_L/n,6,13,17,24,29,-,0871,0876,-,2:05,148,3D,5,2024/10/01
467,10159,既,メズマライザー,0_VS,8,13,20,26,31,-,1218,1451,-,2:06,185,原曲,-,2024/10/02
468,12035,既,如月アテンション,2_MMJ,8,13,18,25,29,-,0855,1155,-,1:58,190,-,-,2024/10/03
469,10160,既,メインキャラクター,0_VS,8,12,17,25,29,-,0951,1043,-,1:55,192,原曲,-,2024/10/04
470,13034,既,コールボーイ,3_VBS,6,13,17,25,29,-,0809,0836,-,2:04,109,-,-,2024/10/05
471,10161,既,きみとぼくのレゾナンス,0_VS,7,13,16,24,28,-,0896,1115,-,2:13,160*,原曲,-,2024/10/06
472,14036,既,転生林檎,4_WxS,6,12,20,25,29,-,0851,0879,-,1:54,145,原曲,-,2024/10/07
473,10162,既,Blackjack,0_VS,6,13,17,25,31,-,0921,1021,-,2:10,114,-,-,2024/10/08
474,15036,既,Shadow Shadow,5_25,6,12,16,23,27,-,0601,0783,-,2:10,135,3D,5,2024/10/09
475,20017,書,生命性シンドロウム,0_VS,9,14,20,29,33,36,1299,1493,2357,2:13,225*,-,-,2024/10/10
476,25021,書,化けの花,5_25,8,13,18,27,31,-,0875,1003,-,1:58,180,2D,-,2024/10/12
